Country,Partner,Value
austria,australia,58.5
austria,belgium,507.5
austria,canada,99.6
austria,chile,45.2
austria,czechia,509.5
austria,denmark,393.3
austria,estonia,72.2
austria,finland,332.1
austria,france,361.3
austria,germany,20328.8
austria,greece,424.0
austria,hungary,756.4
austria,iceland,15.1
austria,ireland,1174.4
austria,israel,31.9
austria,italy,276.4
austria,japan,130.2
austria,northkorea,71.7
austria,luxembourg,550.0
austria,mexico,33.2
austria,netherlands,2035.3
austria,newzealand,9.3
austria,norway,143.5
austria,poland,521.3
austria,portugal,544.7
austria,slovakia,824.7
austria,slovenia,589.1
austria,spain,1141.2
austria,sweden,789.5
austria,switzerland,2695.5
austria,turkey,101.0
austria,uk,910.3
austria,usa,610.4
austria,algeria,6.6
austria,morocco,8.0
austria,tunisia,5.3
austria,angola,15.9
austria,benin,1.3
austria,botswana,1.3
austria,burkinafaso,1.3
austria,cameroon,1.3
austria,ivorycoast,1.3
austria,egypt,27.9
austria,ethiopia,10.6
austria,gabon,6.6
austria,ghana,1.3
austria,kenya,5.3
austria,liberia,65.1
austria,libya,6.6
austria,mauritius,10.6
austria,mozambique,4.0
austria,nigeria,25.2
austria,senegal,1.3
austria,sierraleone,12.0
austria,southafrica,183.3
austria,southsudan,2.7
austria,sudan,2.7
austria,tanzania,2.7
austria,zimbabwe,1.3
austria,bahamas,5.3
austria,barbados,1.3
austria,belize,10.6
austria,costarica,2.7
austria,cuba,5.3
austria,dominicanrepublic,2.7
austria,elsalvador,1.3
austria,grenada,4.0
austria,guatemala,4.0
austria,haiti,1.3
austria,jamaica,1.3
austria,panama,17.3
austria,argentina,19.9
austria,bolivia,1.3
austria,brazil,42.5
austria,colombia,4.0
austria,ecuador,8.0
austria,paraguay,2.7
austria,peru,6.6
austria,suriname,4.0
austria,uruguay,21.3
austria,venezuela,12.0
austria,iran,5.3
austria,bahrain,17.3
austria,iraq,25.2
austria,kuwait,5.3
austria,oman,2.7
austria,qatar,41.2
austria,saudiarabia,110.3
austria,uae,99.6
austria,armenia,10.6
austria,azerbaijan,29.2
austria,georgia,13.3
austria,jordan,6.6
austria,lebanon,25.2
austria,syria,26.6
austria,afghanistan,1.3
austria,bangladesh,2.7
austria,bhutan,4.0
austria,cambodia,1.3
austria,china,312.2
austria,china,17.3
austria,india,70.4
austria,indonesia,22.6
austria,kazakhstan,50.5
austria,sourthkorea,4.0
austria,laos,23.9
austria,malaysia,110.3
austria,maldives,22.6
austria,mongolia,4.0
austria,myanmar,2.7
austria,nepal,1.3
austria,pakistan,4.0
austria,philippines,10.6
austria,singapore,9.3
austria,srilanka,8.0
austria,tajikistan,2.7
austria,thailand,111.6
austria,uzbekistan,2.7
austria,vietnam,5.3
austria,fiji,1.3
austria,marshallislands,41.2
austria,papuanewguinea,1.3
austria,albania,30.6
austria,belarus,49.2
austria,bosnia,31.9
austria,bulgaria,255.1
austria,croatia,728.0
austria,cyprus,22.6
austria,liechtenstein,101.0
austria,northmacedonia,1.3
austria,malta,10.6
austria,moldova,5.3
austria,romania,244.4
austria,russia,1821.3
austria,sanmarino,2.7
austria,montenegro,14.6
austria,ukraine,140.8
austria,latvia,13.3
austria,lithuania,295.2
belgium,lebanon,5.3
finland,peru,15.9
germany,uk,10241.6
belgium,guyana,1.3
czechia,switzerland,434.4
germany,india,770.5
france,comoros,77.1
estonia,vietnam,4.1
germany,finland,956.5
finland,china,417.1
czechia,norway,44.7
estonia,china,43.0
finland,zimbabwe,4.0
germany,venezuela,29.2
belgium,slovenia,169.4
denmark,bangladesh,46.9
germany,bangladesh,2.7
czechia,malta,7.4
estonia,sweden,215.5
estonia,newzealand,1.1
belgium,marshallislands,9.3
belgium,canada,57.1
belgium,albania,5.3
denmark,sierraleone,4.0
estonia,liberia,0.7
denmark,montenegro,2.5
france,uae,1.3
denmark,tanzania,37.6
finland,northmacedonia,1.3
germany,croatia,2173.4
finland,solomonislands,1.3
germany,eritrea,1.3
finland,czechia,225.5
belgium,antiguaandbarbuda,4.0
czechia,armenia,2.3
germany,kenya,73.1
estonia,kazakhstan,74.5
france,honduras,1.3
denmark,comoros,1.6
belgium,venezuela,6.6
germany,turkmenistan,6.6
belgium,israel,146.1
estonia,germany,381.3
belgium,singapore,376.0
germany,mexico,1414.9
germany,malaysia,625.7
belgium,malaysia,26.6
germany,pakistan,23.9
denmark,panama,371.0
czechia,greece,237.1
czechia,lithuania,50.0
czechia,paraguay,0.0
finland,belarus,2.7
france,india,461.0
belgium,kazakhstan,45.2
germany,ecuador,45.2
czechia,gambia,0.0
belgium,brunei,5.3
finland,bolivia,8.0
france,mexico,565.9
czechia,myanmar,0.1
estonia,antiguaandbarbuda,1.9
estonia,latvia,119.3
denmark,malawi,0.9
finland,poland,715.0
denmark,guinea,4.0
france,ecuador,31.9
belgium,sanmarino,1.3
finland,ghana,4.0
germany,southafrica,139.5
denmark,portugal,247.3
belgium,grenada,1.3
czechia,cameroon,0.4
germany,romania,706.8
czechia,sourthkorea,1.6
finland,japan,876.8
denmark,uk,3924.7
denmark,india,419.7
france,croatia,405.2
denmark,bosnia,9.3
germany,tunisia,512.8
finland,madagascar,1.3
czechia,zambia,0.0
finland,namibia,1.3
france,slovenia,55.3
denmark,venezuela,9.8
estonia,singapore,9.4
belgium,oman,183.3
denmark,ecuador,56.3
belgium,gabon,50.5
estonia,uganda,0.1
estonia,southafrica,2.0
france,canada,384.5
germany,iraq,42.5
germany,dominicanrepublic,385.3
belgium,newzealand,48.0
germany,mauritania,10.6
finland,cuba,2.7
czechia,southsudan,0.0
czechia,kuwait,0.5
denmark,marshallislands,146.2
finland,jordan,10.6
germany,slovenia,599.8
