"COU","Country","SER","Service","EXP","Expression","MEASURE","Measure","PAR","Partner","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","AUS","Australia","2014","2014","USD","US Dollar","6","Millions",,,58.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BEL","Belgium","2014","2014","USD","US Dollar","6","Millions",,,148.8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CAN","Canada","2014","2014","USD","US Dollar","6","Millions",,,-19.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CHL","Chile","2014","2014","USD","US Dollar","6","Millions",,,45.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CZE","Czechia","2014","2014","USD","US Dollar","6","Millions",,,37.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","DNK","Denmark","2014","2014","USD","US Dollar","6","Millions",,,229.8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","EST","Estonia","2014","2014","USD","US Dollar","6","Millions",,,-53.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","FIN","Finland","2014","2014","USD","US Dollar","6","Millions",,,-158.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","FRA","France","2014","2014","USD","US Dollar","6","Millions",,,192.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","DEU","Germany","2014","2014","USD","US Dollar","6","Millions",,,10145.8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GRC","Greece","2014","2014","USD","US Dollar","6","Millions",,,-373.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","HUN","Hungary","2014","2014","USD","US Dollar","6","Millions",,,-119.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ISL","Iceland","2014","2014","USD","US Dollar","6","Millions",,,-4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","IRL","Ireland","2014","2014","USD","US Dollar","6","Millions",,,-398.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ISR","Israel","2014","2014","USD","US Dollar","6","Millions",,,31.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ITA","Italy","2014","2014","USD","US Dollar","6","Millions",,,184.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","JPN","Japan","2014","2014","USD","US Dollar","6","Millions",,,130.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","KOR","Korea","2014","2014","USD","US Dollar","6","Millions",,,71.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LUX","Luxembourg","2014","2014","USD","US Dollar","6","Millions",,,-122.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MEX","Mexico","2014","2014","USD","US Dollar","6","Millions",,,33.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","NLD","Netherlands","2014","2014","USD","US Dollar","6","Millions",,,1349.8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","NZL","New Zealand","2014","2014","USD","US Dollar","6","Millions",,,9.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","NOR","Norway","2014","2014","USD","US Dollar","6","Millions",,,143.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","POL","Poland","2014","2014","USD","US Dollar","6","Millions",,,-385.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PRT","Portugal","2014","2014","USD","US Dollar","6","Millions",,,-144.8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SVK","Slovak Republic","2014","2014","USD","US Dollar","6","Millions",,,-644.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SVN","Slovenia","2014","2014","USD","US Dollar","6","Millions",,,-259.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ESP","Spain","2014","2014","USD","US Dollar","6","Millions",,,-495.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SWE","Sweden","2014","2014","USD","US Dollar","6","Millions",,,-53.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CHE","Switzerland","2014","2014","USD","US Dollar","6","Millions",,,2695.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","TUR","Türkiye","2014","2014","USD","US Dollar","6","Millions",,,101,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GBR","United Kingdom","2014","2014","USD","US Dollar","6","Millions",,,150.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","USA","United States","2014","2014","USD","US Dollar","6","Millions",,,175.4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","DZA","Algeria","2014","2014","USD","US Dollar","6","Millions",,,-6.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MAR","Morocco","2014","2014","USD","US Dollar","6","Millions",,,-8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","TUN","Tunisia","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","AGO","Angola","2014","2014","USD","US Dollar","6","Millions",,,15.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BEN","Benin","2014","2014","USD","US Dollar","6","Millions",,,1.3,,
